City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pompéia,-22.11,-50.17,83.7,49,8,12.1,BR,1603378976
Weligama,5.97,80.42,80.06,83,30,10.74,LK,1603379002
Abhā,18.22,42.51,77.0,11,0,11.41,SA,1603378837
Khatanga,71.97,102.5,10.4,94,100,8.41,RU,1603379005
Frontino,6.78,-76.13,75.31,59,72,2.06,CO,1603379006
Paragominas,-2.97,-47.48,97.25,34,18,5.28,BR,1603379007
Busselton,-33.65,115.33,55.99,50,0,12.86,AU,1603378780
Praia,14.92,-23.51,87.8,58,20,17.22,CV,1603379010
Jamestown,42.1,-79.24,57.0,100,90,3.8,US,1603378849
Kenai,60.55,-151.26,32.0,73,1,8.05,US,1603379012
Verkhnyaya Inta,65.98,60.31,26.64,98,100,11.79,RU,1603379014
Saint Paul Harbor,57.79,-152.41,44.6,75,90,18.34,US,1603379015
Port Elizabeth,-33.92,25.57,73.4,73,0,11.41,ZA,1603379016
Nouakchott,18.09,-15.98,98.6,23,0,12.75,MR,1603379017
Alugan,12.22,125.48,80.24,83,95,4.56,PH,1603379019
Hobyo,5.35,48.53,81.03,83,66,14.81,SO,1603379020
Carnarvon,-24.87,113.63,69.8,73,0,18.34,AU,1603379021
Mahébourg,-20.41,57.7,77.0,65,20,9.17,MU,1603379023
Tutóia,-2.76,-42.27,89.56,54,2,18.54,BR,1603379024
Kapaa,22.08,-159.32,70.0,59,29,3.8,US,1603379025
Faya,18.39,42.45,77.0,11,0,11.41,SA,1603379026
Severo-Kuril'sk,50.68,156.12,42.89,77,100,4.88,RU,1603379028
Mapimí,25.82,-103.85,68.0,49,40,4.03,MX,1603379029
Okhotsk,59.38,143.3,39.47,91,100,35.84,RU,1603379030
Port Blair,11.67,92.75,81.1,84,6,11.61,IN,1603378795
East London,-33.02,27.91,75.2,69,0,16.11,ZA,1603379032
Sondrio,46.17,9.87,53.01,74,91,1.99,IT,1603379034
Preobrazheniye,42.9,133.91,50.72,76,50,8.66,RU,1603379036
Port Hawkesbury,45.62,-61.35,63.0,93,75,11.41,CA,1603379038
Manzanillo,20.34,-77.12,80.91,76,96,4.54,CU,1603378810
Roswell,34.02,-84.36,72.0,83,40,6.93,US,1603379040
San Cristobal,7.77,-72.22,87.8,45,40,18.34,VE,1603378792
Oktyabr'skoye,43.06,44.74,55.4,47,95,4.47,RU,1603379044
Arraial do Cabo,-22.97,-42.03,78.8,65,40,13.87,BR,1603379045
Mizdah,31.45,12.98,76.51,31,0,8.52,LY,1603379046
Hasaki,35.73,140.83,63.0,93,75,5.82,JP,1603378876
Constitución,-35.33,-72.42,61.65,57,0,8.28,CL,1603378857
Santa Cruz de Tenerife,28.47,-16.25,66.0,87,75,11.41,ES,1603379050
Kaitangata,-46.28,169.85,48.72,78,100,3.51,NZ,1603379051
Kavieng,-2.57,150.8,83.08,71,51,9.22,PG,1603379052
Castro,-24.79,-50.01,74.91,50,0,9.62,BR,1603379053
Villa Bruzual,9.33,-69.12,83.77,79,27,3.67,VE,1603379055
Talnakh,69.49,88.4,14.0,85,40,4.47,RU,1603379056
Atuona,-9.8,-139.03,77.38,78,16,14.94,PF,1603379057
Holme,56.11,10.17,57.2,82,68,5.82,DK,1603379058
Mnogovershinnyy,53.94,139.92,35.26,98,79,1.1,RU,1603379059
La Ronge,55.1,-105.28,19.4,92,90,4.7,CA,1603379061
Hay River,60.82,-115.8,21.2,85,90,11.41,CA,1603379062
Camacha,33.08,-16.33,69.8,60,40,16.11,PT,1603378972
Port-Gentil,-0.72,8.78,84.2,74,20,13.87,GA,1603379064
Iqaluit,63.75,-68.51,28.4,79,75,7.31,CA,1603379066
Port Augusta,-32.5,137.77,69.01,68,100,12.75,AU,1603379067
Soe,-9.86,124.28,67.93,94,79,2.48,ID,1603379068
Piaçabuçu,-10.41,-36.43,84.2,63,7,12.1,BR,1603379070
Yerbogachën,61.28,108.01,35.64,90,100,9.64,RU,1603379071
São Filipe,14.9,-24.5,82.47,70,8,10.11,CV,1603379072
Alta Floresta,-9.88,-56.09,102.13,32,100,2.51,BR,1603378794
Fortuna,40.6,-124.16,44.6,87,1,4.7,US,1603379076
Kavaratti,10.57,72.64,81.27,76,59,16.93,IN,1603378883
New Norfolk,-42.78,147.06,54.0,83,100,1.88,AU,1603379078
San Jose de Guanipa,8.89,-64.17,87.91,54,18,11.39,VE,1603379079
Suleja,9.18,7.18,89.6,62,20,6.93,NG,1603379080
Hilo,19.73,-155.09,69.8,56,1,8.05,US,1603378890
Ōdachō-ōda,35.18,132.5,60.67,84,100,9.78,JP,1603379084
Fort Nelson,58.81,-122.7,19.4,79,90,1.59,CA,1603378805
Kahului,20.89,-156.47,69.01,68,1,4.7,US,1603379087
Westport,41.14,-73.36,68.0,88,40,4.7,US,1603378827
Chara,56.91,118.26,13.6,86,62,1.57,RU,1603379089
Lavrentiya,65.58,-171.0,34.83,90,8,2.57,RU,1603379091
Avera,33.19,-82.53,73.4,66,90,3.36,US,1603379092
Zhezkazgan,47.8,67.71,39.78,66,100,10.09,KZ,1603379093
Zhangye,38.93,100.45,50.0,40,0,3.09,CN,1603379095
Esperance,-33.87,121.9,55.4,100,90,9.01,AU,1603379096
Vanimo,-2.67,141.3,77.85,76,100,2.91,PG,1603378869
Burley,42.54,-113.79,32.0,90,1,17.22,US,1603379098
Yellowknife,62.46,-114.35,23.0,85,90,8.05,CA,1603378849
Paulo Afonso,-9.41,-38.21,96.85,28,3,10.36,BR,1603379101
Amapá,1.0,-52.0,98.19,29,48,5.5,BR,1603379102
Ust'-Kulom,61.69,53.69,25.11,92,100,7.4,RU,1603379103
Pevek,69.7,170.31,29.66,96,0,20.36,RU,1603378912
Port Lincoln,-34.73,135.87,59.58,89,100,12.86,AU,1603379106
Mehamn,71.04,27.85,33.8,84,0,10.29,NO,1603379107
Altamira,-3.2,-52.21,96.37,40,50,5.68,BR,1603379108
Poum,-20.23,164.02,75.87,79,100,9.04,NC,1603379110
Karachi,24.91,67.08,82.4,23,3,4.7,PK,1603379036
Sogod,10.38,124.98,80.53,77,74,0.85,PH,1603379112
Tuktoyaktuk,69.45,-133.04,21.2,92,90,12.75,CA,1603378988
Nikolskoye,59.7,30.79,44.6,93,90,8.95,RU,1603379114
Klaksvík,62.23,-6.59,42.8,70,90,13.87,FO,1603379117
Russell,32.35,-85.2,75.0,94,1,4.7,US,1603379118
Florence,43.77,11.25,66.2,68,75,3.36,IT,1603378868
Saskylakh,71.92,114.08,2.77,93,86,7.87,RU,1603379121
Upernavik,72.79,-56.15,24.6,97,100,8.21,GL,1603378923
Provideniya,64.38,-173.3,34.03,90,1,11.59,RU,1603379123
Yar-Sale,66.83,70.83,18.93,97,95,10.13,RU,1603379008
Muli,2.92,73.57,82.18,80,9,13.24,MV,1603379127
Taoudenni,22.68,-3.98,100.24,9,0,2.44,ML,1603379128
Nanortalik,60.14,-45.24,32.16,82,0,25.05,GL,1603379129
San Patricio,28.02,-97.52,82.4,74,90,10.29,US,1603379131
Tashtagol,52.77,87.89,41.29,86,100,8.41,RU,1603379133
Coquimbo,-29.95,-71.34,55.4,82,90,6.93,CL,1603379134
Belém,-1.46,-48.5,87.8,62,40,11.41,BR,1603379029
Acajutla,13.59,-89.83,75.2,94,0,1.05,SV,1603378888
Kiryat Gat,31.61,34.76,82.4,51,0,10.29,IL,1603378860
Northam,51.03,-4.22,57.0,76,78,4.0,GB,1603379139
Kieta,-6.22,155.63,79.41,79,97,1.88,PG,1603379140
Tual,-5.67,132.75,82.62,75,64,9.93,ID,1603378956
Airai,-8.93,125.41,62.35,100,45,0.4,TL,1603378916
Agua Fría,13.47,-87.55,80.6,83,0,0.34,HN,1603379144
Sevnica,46.01,15.32,68.0,52,0,11.41,SI,1603379146
Saint George,37.1,-113.58,51.8,25,1,4.7,US,1603379056
Santiago del Estero,-27.8,-64.26,70.05,69,100,7.81,AR,1603379148
Inhambane,-23.86,35.38,78.8,54,40,11.41,MZ,1603379149
Rawson,-43.3,-65.1,69.75,29,0,11.83,AR,1603379151
Roald,62.58,6.13,44.6,65,20,16.11,NO,1603378868
Izhma,65.01,53.91,23.67,96,0,6.2,RU,1603379153
Huangpi,30.88,114.38,62.6,63,0,6.71,CN,1603379154
Mogadishu,2.04,45.34,84.2,66,75,17.22,SO,1603379156
Gouyave,12.16,-61.73,87.8,74,20,17.22,GD,1603379157
Broome,42.25,-75.83,64.0,87,90,3.13,US,1603379158
Sechura,-5.56,-80.82,71.58,64,28,7.34,PE,1603379160
Ust-Tsilma,65.44,52.15,22.69,96,0,4.34,RU,1603379161
Aklavik,68.22,-135.01,15.8,78,75,3.36,CA,1603379162
Sibolga,1.74,98.78,77.74,76,100,3.09,ID,1603378910
Nhulunbuy,-12.23,136.77,78.8,83,63,5.82,AU,1603379165
Andalan,5.96,121.39,80.78,84,66,7.31,PH,1603379166
Cidreira,-30.18,-50.21,67.08,84,100,18.52,BR,1603379169
Bethel,41.37,-73.41,66.0,88,90,5.82,US,1603378960
Batouri,4.43,14.37,80.42,74,87,4.23,CM,1603379171
Baoro,5.67,15.97,79.9,70,99,5.32,CF,1603379172
Deputatsky,69.3,139.9,2.1,92,6,4.99,RU,1603379173
Szolnok,47.18,20.2,66.2,52,0,6.93,HU,1603379175
Northallerton,54.34,-1.43,55.4,71,40,21.92,GB,1603379176
Novopavlovka,51.22,109.21,28.22,93,0,1.92,RU,1603379177
Los Llanos de Aridane,28.66,-17.92,73.4,60,40,13.87,ES,1603379179
Mount Isa,-20.73,139.5,77.0,69,90,8.05,AU,1603379180
Umm Kaddadah,13.6,26.69,96.4,9,0,12.12,SD,1603379181
Mayumba,-3.43,10.66,77.9,82,99,7.2,GA,1603379182
Acapulco de Juárez,16.86,-99.89,80.6,83,75,6.93,MX,1603379128
The Valley,18.22,-63.06,87.8,79,20,10.29,AI,1603379185
Nauta,-4.51,-73.58,86.02,60,99,3.04,PE,1603379186
Gornyye Klyuchi,45.25,133.5,37.56,80,100,2.73,RU,1603379187
Luangwa,-15.62,30.42,93.52,22,0,10.6,ZM,1603379189
Dawlatabad,36.41,64.91,54.91,41,0,8.46,AF,1603379190
Vardø,70.37,31.11,37.4,74,75,18.34,NO,1603379191
Honningsvåg,70.98,25.97,33.8,69,75,5.82,NO,1603378985
Alcañiz,41.05,-0.13,63.0,93,100,4.0,ES,1603379193
Bathsheba,13.22,-59.52,87.8,66,40,18.34,BB,1603379195
Bernalillo,35.05,-106.67,62.01,20,20,4.7,US,1603379196
Jasper,37.2,-94.35,75.0,78,1,14.99,US,1603379197
Bara,10.37,10.73,96.8,19,0,20.8,NG,1603379198
Mandalgovi,45.76,106.27,31.28,81,0,2.82,MN,1603379200
Doha,25.29,51.53,86.0,62,0,9.17,QA,1603379059
Mbigou,-1.9,11.91,75.69,89,99,3.47,GA,1603379202
Douala,4.05,9.7,83.86,69,99,8.9,CM,1603379203
Seymchan,62.88,152.43,22.33,85,68,4.92,RU,1603379205
Paramonga,-10.67,-77.83,68.7,69,48,8.7,PE,1603379206
Namatanai,-3.67,152.43,80.26,81,100,8.52,PG,1603379207
Diego de Almagro,-26.37,-70.05,80.67,18,0,9.04,CL,1603379209
Sungai Penuh,-2.08,101.38,66.11,83,100,1.39,ID,1603379210
Port Alfred,-33.59,26.89,73.44,71,0,19.39,ZA,1603379212
Chui,-33.7,-53.46,60.69,84,100,16.15,UY,1603379213
Meulaboh,4.14,96.13,79.45,81,100,3.02,ID,1603379216
Laas,46.62,10.7,59.0,70,75,9.17,IT,1603379217
Luzhany,48.36,25.77,64.4,55,0,4.47,UA,1603379090
Barentu,15.11,37.59,89.1,22,73,7.56,ER,1603379219
Helong,42.54,129.0,36.09,78,100,4.45,CN,1603379222
Ostrovnoy,68.05,39.51,27.61,94,72,8.08,RU,1603379223
Sabla,12.75,4.71,99.82,10,0,12.1,NG,1603379224
Gilgit,35.92,74.31,63.45,25,2,0.34,PK,1603378948
Batagay-Alyta,67.8,130.41,5.77,85,0,2.33,RU,1603379227
Zaragoza,41.66,-0.88,72.0,77,75,10.29,ES,1603378972
Baker City,44.77,-117.83,32.0,87,1,11.41,US,1603379230
Ylivieska,64.08,24.55,43.0,97,100,1.01,FI,1603379232
Codrington,-38.27,141.97,51.8,94,100,5.57,AU,1603379233
Hithadhoo,-0.6,73.08,83.68,74,0,16.02,MV,1603379235
Remanso,-9.62,-42.08,87.93,42,9,13.22,BR,1603379237
Patti,31.28,74.86,78.8,60,0,3.27,IN,1603379238
Laguna,38.42,-121.42,62.6,33,1,9.17,US,1603378962
Kruisfontein,-34.0,24.73,72.66,58,0,13.76,ZA,1603379240
Katubao,5.89,124.83,81.09,72,98,0.63,PH,1603379242
Santa Cruz,30.42,-9.6,73.4,64,75,4.7,MA,1603379244
Aljezur,37.32,-8.8,66.61,64,0,9.75,PT,1603379245
Beian,63.66,9.57,39.2,80,40,2.24,NO,1603379247
Sumbe,-11.21,13.84,82.4,71,40,6.93,AO,1603379047
Baturaja,-4.13,104.17,76.05,91,100,0.96,ID,1603379249
Encruzilhada do Sul,-30.54,-52.52,71.22,69,83,11.48,BR,1603379250
Hamilton,39.18,-84.53,69.01,82,75,9.17,US,1603378957
Zabaykal'sk,49.63,117.32,25.97,88,0,4.88,RU,1603379253
Mto wa Mbu,-3.35,35.85,86.63,22,67,12.93,TZ,1603379254
Cap-aux-Meules,47.38,-61.86,53.6,81,40,19.46,CA,1603379255
Pokhara,28.23,83.98,66.52,43,0,5.21,NP,1603379257
Sisimiut,66.94,-53.67,28.42,91,77,9.37,GL,1603378968
Egvekinot,66.32,-179.17,28.06,97,64,1.05,RU,1603379259
Qaanaaq,77.48,-69.36,20.82,95,100,4.65,GL,1603379260
Angoram,-4.06,144.07,71.67,95,81,2.46,PG,1603379262
Guarda,40.54,-7.27,62.01,70,9,11.01,PT,1603379263
Gijang,35.24,129.21,59.0,67,75,8.05,KR,1603379264
Tabuk,17.42,121.44,75.88,87,36,2.15,PH,1603379265
Berlevåg,70.86,29.09,32.0,80,0,10.29,NO,1603379267
Almeirim,-1.52,-52.58,94.89,43,45,6.33,BR,1603379268
Peniche,39.36,-9.38,70.0,70,0,14.0,PT,1603379269
Mankono,8.06,-6.19,88.36,53,2,4.45,CI,1603379270
Panan,15.21,120.03,80.6,88,90,14.99,PH,1603379273
Bollnäs,61.35,16.39,41.52,91,100,2.37,SE,1603379274
Kirkwood,38.58,-90.41,72.0,88,20,6.93,US,1603379201
Port Hardy,50.7,-127.42,35.6,93,75,2.57,CA,1603379277
Nelson Bay,-32.72,152.15,66.0,93,0,5.82,AU,1603379173
Uppsala County,60.0,17.75,50.0,100,75,5.82,SE,1603379279
Bowmore,34.94,-79.3,75.0,88,1,6.93,US,1603379281
Ossora,59.24,163.07,39.36,84,99,4.25,RU,1603379282
Massakory,13.0,15.73,100.87,8,0,16.24,TD,1603379284
Tuatapere,-46.13,167.68,52.0,88,100,1.01,NZ,1603379285
Arcelia,18.28,-100.27,76.19,78,71,0.89,MX,1603379287
Yamada,39.47,141.95,60.24,82,100,7.0,JP,1603379288
Pitimbu,-7.47,-34.81,82.4,78,75,14.99,BR,1603379290
Caniço,32.63,-16.85,71.6,53,40,5.82,PT,1603379292
Arlit,18.74,7.39,100.96,8,0,18.81,NE,1603379294
Abu Samrah,35.3,37.18,71.76,28,0,1.88,SY,1603379296
Baní,18.28,-70.33,84.2,74,75,3.18,DO,1603379297
Khani,41.96,42.96,66.2,68,0,8.05,GE,1603379299
Salalah,17.02,54.09,84.2,74,20,5.82,OM,1603379300
Karangampel,-6.46,108.45,83.05,71,86,1.3,ID,1603379301
Anadyr,64.75,177.48,37.4,86,75,6.71,RU,1603379303
Bereda,43.27,-7.54,57.0,86,72,8.01,ES,1603379304
Cookeville,36.16,-85.5,73.0,78,1,6.93,US,1603378894
Kununurra,-15.77,128.73,86.0,62,100,8.05,AU,1603379306
Atyrau,47.12,51.88,42.8,48,0,6.71,KZ,1603379308
Katsuura,35.13,140.3,66.2,72,75,10.29,JP,1603379309
Glace Bay,46.2,-59.96,63.0,73,100,8.99,CA,1603379310
Tsumeb,-19.23,17.72,97.83,8,1,11.1,NA,1603379312
Rome,43.21,-75.46,57.2,82,90,1.68,US,1603379044
Karratha,-20.74,116.85,71.87,70,0,16.31,AU,1603379315
Pec,42.66,20.29,64.4,42,0,2.24,XK,1603379317
Honiara,-9.43,159.95,77.94,78,100,3.29,SB,1603379318
Uglekamensk,43.22,133.23,43.12,76,39,5.99,RU,1603379321
Lima,-12.04,-77.03,66.0,77,40,8.05,PE,1603379197
Kelvington,52.17,-103.53,15.76,96,60,7.94,CA,1603379164
Puri,19.8,85.85,78.8,94,75,16.91,IN,1603379325
Brae,60.4,-1.35,46.4,75,40,11.41,GB,1603379326
Yulara,-25.24,130.99,80.6,32,0,20.8,AU,1603379327
Manicoré,-5.81,-61.3,84.11,68,100,2.48,BR,1603379328
Bud,39.45,-86.18,70.0,93,52,4.7,US,1603379329
Bataiporã,-22.3,-53.27,88.48,40,43,8.37,BR,1603379331
Sayyan,15.17,44.32,65.32,27,61,11.18,YE,1603379332
Kalmunai,7.42,81.82,83.23,74,91,6.17,LK,1603379333
Khovd,48.01,91.64,36.45,70,17,1.32,MN,1603379334
Okha,53.57,142.95,46.17,96,100,4.25,RU,1603379336
Hualmay,-11.1,-77.61,69.1,67,69,9.37,PE,1603379337
Kjøllefjord,70.95,27.35,33.8,69,75,5.82,NO,1603379338
Mayo,38.89,-76.51,73.99,100,90,3.36,US,1603379339
Baykit,61.67,96.37,36.0,85,100,5.57,RU,1603379341
Saint-Pierre,-21.34,55.48,75.2,73,0,23.04,RE,1603379342
Itaituba,-4.28,-55.98,98.82,36,96,4.97,BR,1603379344
Vrangel',42.73,133.08,49.59,73,2,11.7,RU,1603379345
Grootfontein,-19.57,18.12,95.56,9,0,15.5,NA,1603379346
Estelle,29.85,-90.11,81.0,94,75,11.41,US,1603379348
Biltine,14.53,20.92,97.56,9,60,10.63,TD,1603379349
Dingle,11.0,122.67,77.79,90,62,4.94,PH,1603379350
Najrān,17.49,44.13,84.2,9,0,9.17,SA,1603379352
Sekoma,-24.4,23.88,92.68,15,0,12.64,BW,1603379353
Batemans Bay,-35.72,150.18,60.01,97,90,1.66,AU,1603379354
Mar del Plata,-38.0,-57.56,57.2,76,90,17.22,AR,1603379122
Kashgar,39.45,75.98,57.2,24,20,6.71,CN,1603379357
Lompoc,34.64,-120.46,57.2,100,90,5.55,US,1603379161
Zhigansk,66.77,123.37,17.78,96,100,16.82,RU,1603379359
Ekhabi,53.51,142.97,46.08,96,100,3.91,RU,1603379361
Wabana,47.63,-52.95,64.4,77,90,16.11,CA,1603379362
Alyangula,-13.85,136.42,82.4,74,100,8.05,AU,1603379363
Fatehpur,25.93,80.8,78.93,42,4,2.08,IN,1603379364
Naze,28.37,129.48,77.0,100,75,10.29,JP,1603379366
Sitka,57.05,-135.33,32.0,82,1,5.82,US,1603379367
Mahon,39.89,4.27,73.4,73,0,12.75,ES,1603379368
Santa Rosa,14.31,121.11,82.4,78,90,6.93,PH,1603379371
Matagami,49.75,-77.63,30.2,92,90,2.24,CA,1603379372
Purificación,3.86,-74.93,81.0,72,99,1.81,CO,1603379374
Kamiiso,41.82,140.65,59.38,81,100,5.21,JP,1603379376
Pemangkat,1.17,108.97,80.65,81,100,9.57,ID,1603379378
Palanga,55.92,21.07,57.2,87,75,11.41,LT,1603379379
Ponta Delgada,37.73,-25.67,64.4,68,75,10.29,PT,1603379381
Usinsk,65.99,57.53,26.71,97,99,14.47,RU,1603379383
Vostok,46.49,135.88,32.38,97,99,1.21,RU,1603379384
Mustafakemalpaşa,40.04,28.41,73.4,73,0,13.87,TR,1603379386
Guarenas,10.47,-66.61,80.01,59,72,3.98,VE,1603379387
Mafeteng,-29.82,27.24,84.52,15,75,14.03,LS,1603379388
Tilichiki,60.47,166.1,31.95,98,96,5.01,RU,1603379389
Bhattiprolu,16.1,80.78,84.2,89,75,3.69,IN,1603379391
Muravlenko,63.79,74.52,18.05,97,100,11.86,RU,1603379393
Umba,66.69,34.34,34.72,94,100,21.74,RU,1603379396
Gerede,40.8,32.2,56.05,64,0,3.11,TR,1603379397
Rocha,-34.48,-54.33,60.44,80,100,15.1,UY,1603379398
Ixtapa,20.7,-105.2,84.0,94,20,4.7,MX,1603379399
Sørland,67.67,12.69,39.2,75,40,12.75,NO,1603379401
Pangnirtung,66.15,-65.71,28.4,79,90,2.28,CA,1603379403
Pointe-Noire,-4.78,11.86,79.32,81,87,9.31,CG,1603379404
Saint-Joseph,-21.37,55.62,75.2,73,0,23.04,RE,1603379406
Koumac,-20.57,164.28,73.76,78,100,4.03,NC,1603379407
Skotina,40.01,22.55,75.2,36,0,1.54,GR,1603379408
Korla,41.76,86.15,54.0,97,0,3.0,CN,1603379409
Erenhot,43.65,111.98,34.61,71,0,2.91,CN,1603379411
Mount Gambier,-37.83,140.77,53.6,93,90,8.05,AU,1603379412
Sanary-sur-Mer,43.12,5.8,70.0,77,99,8.01,FR,1603379413
Ngama,11.78,17.17,99.21,15,9,10.16,TD,1603379416
Mayahi,13.96,7.67,99.23,8,0,18.37,NE,1603379286
Nazaré,-13.04,-39.01,87.96,52,54,7.34,BR,1603379258
Hachinohe,40.5,141.5,62.6,72,75,5.82,JP,1603379422
Waipawa,-41.41,175.52,55.4,82,4,16.11,NZ,1603379423
Shetpe,44.17,52.12,46.67,53,50,8.21,KZ,1603379425
Guerrero Negro,27.98,-114.06,67.89,78,89,7.23,MX,1603379426
Putyatino,54.16,41.12,40.82,88,100,8.88,RU,1603379427
Ginir,7.13,40.7,61.45,83,53,3.71,ET,1603379430
Vagay,57.94,69.02,30.9,97,92,4.12,RU,1603379432
Bambous Virieux,-20.34,57.76,77.0,65,20,9.17,MU,1603379433
San Quintín,30.48,-115.95,65.59,76,100,3.62,MX,1603379435
Buala,-8.14,159.59,79.74,71,99,1.97,SB,1603379436
Cherskiy,68.75,161.3,20.64,95,27,10.51,RU,1603379438
Bone,51.97,12.14,66.99,75,9,8.19,DE,1603379439
Manokwari,-0.87,134.08,81.34,75,4,7.23,ID,1603379440
Comodoro Rivadavia,-45.87,-67.5,64.4,48,0,4.7,AR,1603379441
Havre-St-Pierre,50.23,-63.6,42.8,81,75,18.34,CA,1603379443
Bela,25.93,81.98,79.93,46,18,5.77,IN,1603379444
Mossamedes,-15.2,12.15,77.0,73,75,11.41,AO,1603379445
Juneau,58.3,-134.42,28.99,50,1,5.82,US,1603379446
Hamadan,34.8,48.51,49.57,46,0,2.86,IR,1603379448
Jiayuguan City,39.82,98.3,43.84,48,0,2.73,CN,1603379449
Lipin Bor,60.26,37.98,36.21,86,100,16.26,RU,1603379450
Bolobo,-2.17,16.23,86.13,57,49,5.5,CD,1603379451
Ormara,25.21,64.64,81.97,50,0,6.64,PK,1603379452
Norman Wells,65.28,-126.83,6.8,92,75,2.24,CA,1603379454
El Alto,-4.27,-81.21,71.6,78,0,18.34,PE,1603379455
Grand Gaube,-20.01,57.66,75.0,70,0,4.0,MU,1603379456
Myitkyina,25.38,97.4,71.35,97,100,0.76,MM,1603379458
Dicabisagan,17.08,122.42,81.43,78,7,4.92,PH,1603379459
Husavik,66.04,-17.34,39.2,60,40,2.24,IS,1603379460
Puerto Escondido,15.85,-97.07,75.2,88,20,9.17,MX,1603379461
Kargopol',61.51,38.95,32.9,92,100,11.18,RU,1603379343
Kikwit,-5.04,18.82,86.49,61,98,3.22,CD,1603379464
Qaqortoq,60.72,-46.03,26.6,68,20,2.24,GL,1603379466
Huarmey,-10.07,-78.15,69.78,66,37,9.53,PE,1603379469
